days,bottle.id,substrate.mass.vs,isr.mean,cvCH4,vol.mi.mn,vol.mi.se,n,rsd.inoc,cvCH4.tot,cvCH4.inoc,fv.inoc,se.inoc,cvCH4.se,rrvCH4
3,cellulose 3,3.052,3.23382643214991,162.790720610196,20.0522231813051,0.702849954889227,3,6.07100679539915,227.260812581914,64.4700919717171,0.28368327666909,2.25973952236236,0,66.78
4,cellulose 3,3.052,3.23382643214991,277.729360766184,24.5166519957687,0.93805668469444,3,6.6271766575257,356.553079947575,78.8237191813919,0.221071485886425,3.01595489887214,0,41.39
5,cellulose 3,3.052,3.23382643214991,311.872777180406,28.3682942052772,1.11710791843493,3,6.82059928688583,403.07994757536,91.2071703949545,0.226275633267275,3.59162421007654,0,10.95
6,cellulose 3,3.052,3.23382643214991,324.441694194423,31.6844337056356,1.2756295256178,3,6.97331431115975,426.310615989515,101.868921795092,0.238954691659842,4.10128852520904,0,3.874
7,cellulose 3,3.052,3.23382643214991,331.418999457673,34.6505710621336,1.40587977254852,3,7.0274605028038,442.824377457405,111.405377999732,0.25157914439895,4.520057323214,0,2.105
8,cellulose 3,3.052,3.23382643214991,335.813259362374,37.4112008834876,1.48062801539635,3,6.85496025044274,456.094364351245,120.281104988871,0.263719779041692,4.76038110415103,0,1.309
9,cellulose 3,3.052,3.23382643214991,339.829305431924,39.5557101698676,1.54782800825087,3,6.77757203740181,467.005242463958,127.175937032034,0.272322289919153,4.97643643530596,0,1.182
10,cellulose 3,3.052,3.23382643214991,343.058263257454,41.6800608425374,1.61168809388208,3,6.69750861234024,477.064220183486,134.005956926032,0.280897102018029,5.18175359923041,0,0.9412
11,cellulose 3,3.052,3.23382643214991,345.7068199524,43.7403488550718,1.67374891153678,3,6.62778928330077,486.336828309305,140.630008356906,0.289161749986711,5.38128591970493,0,0.7661
12,cellulose 3,3.052,3.23382643214991,347.465730728002,45.6289376828545,1.70431032812791,3,6.46947360620045,494.167758846658,146.702028118656,0.296866854407994,5.47954421857788,0,0.5062
13,cellulose 3,3.052,3.23382643214991,348.670615062411,47.2516301968612,1.7453929438619,3,6.39789409454458,500.589777195282,151.919162132871,0.303480352683285,5.61162932409768,0,0.3456
0,sample 1.1,2.889,3.06096780801021,0,0,0,3,NA,0,0,NA,0,0,NA
1,sample 1.1,2.889,3.06096780801021,162.983677623249,7.64256939185496,0.252868654924636,3,5.73081297027998,186.396677050883,23.412999427634,0.125608459324855,0.774662730485214,0,100
2,sample 1.1,2.889,3.06096780801021,314.254934097228,14.8034890659318,0.482446860420485,3,5.64476705781101,359.605399792316,45.3504656950877,0.126111748381084,1.47797520542329,0,48.14
3,sample 1.1,2.889,3.06096780801021,364.530585497296,20.0522231813051,0.702849954889227,3,6.07100679539915,425.960539979232,61.4299544819357,0.1442151296102,2.15317974202129,0,13.79
4,sample 1.1,2.889,3.06096780801021,385.987078883352,24.5166519957687,0.93805668469444,3,6.6271766575257,461.093804084458,75.1067252011059,0.162888168385253,2.87373519241393,0,5.559
